2013-04-24 17:02:00 install grep:amd64 <none> 2.14-1
2013-04-24 17:02:00 status half-installed grep:amd64 2.14-1
2013-04-24 17:02:00 status unpacked grep:amd64 2.14-1
2013-04-24 17:02:00 status unpacked grep:amd64 2.14-1
2013-04-24 17:02:00 install gzip:amd64 <none> 1.5-1.1ubuntu1
2013-04-24 17:02:00 status half-installed gzip:amd64 1.5-1.1ubuntu1
2013-04-24 17:02:00 status unpacked gzip:amd64 1.5-1.1ubuntu1
2013-04-24 17:02:00 status unpacked gzip:amd64 1.5-1.1ubuntu1
2013-04-24 17:02:00 install hostname:amd64 <none> 3.12ubuntu1
2013-04-24 17:02:00 status half-installed hostname:amd64 3.12ubuntu1
2013-04-24 17:02:00 status unpacked hostname:amd64 3.12ubuntu1
2013-04-24 17:02:00 status unpacked hostname:amd64 3.12ubuntu1
2013-04-24 17:02:00 install ifupdown:amd64 <none> 0.7.5ubuntu2
2013-04-24 17:02:00 status half-installed ifupdown:amd64 0.7.5ubuntu2
2013-04-24 17:02:00 status unpacked ifupdown:amd64 0.7.5ubuntu2
2013-04-24 17:02:00 status unpacked ifupdown:amd64 0.7.5ubuntu2
2013-04-24 17:02:00 install initramfs-tools:all <none> 0.103ubuntu0.7
2013-04-24 17:02:00 status half-installed initramfs-tools:all 0.103ubuntu0.7
2013-04-24 17:02:00 status unpacked initramfs-tools:all 0.103ubuntu0.7
2013-04-24 17:02:00 status unpacked initramfs-tools:all 0.103ubuntu0.7
2013-04-24 17:02:00 install initramfs-tools-bin:amd64 <none> 0.103ubuntu0.7
2013-04-24 17:02:00 status half-installed initramfs-tools-bin:amd64 0.103ubuntu0.7
2013-04-24 17:02:00 status unpacked initramfs-tools-bin:amd64 0.103ubuntu0.7
2013-04-24 17:02:00 status unpacked initramfs-tools-bin:amd64 0.103ubuntu0.7
2013-04-24 17:02:00 install initscripts:amd64 <none> 2.88dsf-13.10ubuntu15
2013-04-24 17:02:00 status half-installed initscripts:amd64 2.88dsf-13.10ubuntu15
2013-04-24 17:02:00 status unpacked initscripts:amd64 2.88dsf-13.10ubuntu15
2013-04-24 17:02:00 status unpacked initscripts:amd64 2.88dsf-13.10ubuntu15
2013-04-24 17:02:00 install insserv:amd64 <none> 1.14.0-5ubuntu1
2013-04-24 17:02:00 status half-installed insserv:amd64 1.14.0-5ubuntu1
2013-04-24 17:02:00 status unpacked insserv:amd64 1.14.0-5ubuntu1
2013-04-24 17:02:00 status unpacked insserv:amd64 1.14.0-5ubuntu1
2013-04-24 17:02:00 install iproute:amd64 <none> 20121211-2
2013-04-24 17:02:00 status half-installed iproute:amd64 20121211-2
2013-04-24 17:02:00 status unpacked iproute:amd64 20121211-2
2013-04-24 17:02:00 status unpacked iproute:amd64 20121211-2
2013-04-24 17:02:00 install klibc-utils:amd64 <none> 2.0.1-3.1ubuntu1
2013-04-24 17:02:00 status half-installed klibc-utils:amd64 2.0.1-3.1ubuntu1
2013-04-24 17:02:00 status unpacked klibc-utils:amd64 2.0.1-3.1ubuntu1
2013-04-24 17:02:00 status unpacked klibc-utils:amd64 2.0.1-3.1ubuntu1
2013-04-24 17:02:00 install kmod:amd64 <none> 9-3ubuntu1
2013-04-24 17:02:00 status half-installed kmod:amd64 9-3ubuntu1
2013-04-24 17:02:00 status unpacked kmod:amd64 9-3ubuntu1
2013-04-24 17:02:00 status unpacked kmod:amd64 9-3ubuntu1
2013-04-24 17:02:00 install libacl1:amd64 <none> 2.2.51-8ubuntu3
2013-04-24 17:02:00 status half-installed libacl1:amd64 2.2.51-8ubuntu3
2013-04-24 17:02:00 status unpacked libacl1:amd64 2.2.51-8ubuntu3
2013-04-24 17:02:00 status unpacked libacl1:amd64 2.2.51-8ubuntu3
2013-04-24 17:02:00 install libattr1:amd64 <none> 1:2.4.46-8ubuntu2
2013-04-24 17:02:00 status half-installed libattr1:amd64 1:2.4.46-8ubuntu2
2013-04-24 17:02:00 status unpacked libattr1:amd64 1:2.4.46-8ubuntu2
2013-04-24 17:02:00 status unpacked libattr1:amd64 1:2.4.46-8ubuntu2
2013-04-24 17:02:00 install libaudit-common:all <none> 1:2.2.2-1ubuntu4
2013-04-24 17:02:00 status half-installed libaudit-common:all 1:2.2.2-1ubuntu4
2013-04-24 17:02:00 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-04-24 17:02:00 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-04-24 17:02:00 install libaudit1:amd64 <none> 1:2.2.2-1ubuntu4
2013-04-24 17:02:00 status half-installed libaudit1:amd64 1:2.2.2-1ubuntu4
2013-04-24 17:02:00 status unpacked libaudit1:amd64 1:2.2.2-1ubuntu4
2013-04-24 17:02:00 status unpacked libaudit1:amd64 1:2.2.2-1ubuntu4
2013-04-24 17:02:00 install libblkid1:amd64 <none> 2.20.1-5.1ubuntu8
2013-04-24 17:02:00 status half-installed libblkid1:amd64 2.20.1-5.1ubuntu8
2013-04-24 17:02:00 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu8
2013-04-24 17:02:00 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu8
2013-04-24 17:02:00 install libbz2-1.0:amd64 <none> 1.0.6-4
2013-04-24 17:02:00 status half-installed libbz2-1.0:amd64 1.0.6-4
2013-04-24 17:02:00 status unpacked libbz2-1.0:amd64 1.0.6-4
2013-04-24 17:02:00 status unpacked libbz2-1.0:amd64 1.0.6-4
2013-04-24 17:02:00 install libc-bin:amd64 <none> 2.17-0ubuntu5
2013-04-24 17:02:00 status half-installed libc-bin:amd64 2.17-0ubuntu5
2013-04-24 17:02:00 status unpacked libc-bin:amd64 2.17-0ubuntu5
2013-04-24 17:02:00 status unpacked libc-bin:amd64 2.17-0ubuntu5
2013-04-24 17:02:00 upgrade libc6:amd64 2.17-0ubuntu5 2.17-0ubuntu5
2013-04-24 17:02:00 status half-configured libc6:amd64 2.17-0ubuntu5
2013-04-24 17:02:00 status unpacked libc6:amd64 2.17-0ubuntu5
2013-04-24 17:02:00 status half-installed libc6:amd64 2.17-0ubuntu5
2013-04-24 17:02:01 status half-installed libc6:amd64 2.17-0ubuntu5
2013-04-24 17:02:01 status unpacked libc6:amd64 2.17-0ubuntu5
2013-04-24 17:02:01 status unpacked libc6:amd64 2.17-0ubuntu5
2013-04-24 17:02:01 install libcap2:amd64 <none> 1:2.22-1.2ubuntu2
2013-04-24 17:02:01 status half-installed libcap2:amd64 1:2.22-1.2ubuntu2
2013-04-24 17:02:01 status unpacked libcap2:amd64 1:2.22-1.2ubuntu2
2013-04-24 17:02:01 status unpacked libcap2:amd64 1:2.22-1.2ubuntu2
2013-04-24 17:02:01 install libcomerr2:amd64 <none> 1.42.5-1ubuntu4
2013-04-24 17:02:01 status half-installed libcomerr2:amd64 1.42.5-1ubuntu4
2013-04-24 17:02:01 status unpacked libcomerr2:amd64 1.42.5-1ubuntu4
2013-04-24 17:02:01 status unpacked libcomerr2:amd64 1.42.5-1ubuntu4
2013-04-24 17:02:01 install libdb5.1:amd64 <none> 5.1.29-5ubuntu8
2013-04-24 17:02:01 status half-installed libdb5.1:amd64 5.1.29-5ubuntu8
2013-04-24 17:02:01 status unpacked libdb5.1:amd64 5.1.29-5ubuntu8
2013-04-24 17:02:01 status unpacked libdb5.1:amd64 5.1.29-5ubuntu8
2013-04-24 17:02:01 install libdbus-1-3:amd64 <none> 1.6.8-1ubuntu6
2013-04-24 17:02:01 status half-installed libdbus-1-3:amd64 1.6.8-1ubuntu6
2013-04-24 17:02:01 status unpacked libdbus-1-3:amd64 1.6.8-1ubuntu6
2013-04-24 17:02:01 status unpacked libdbus-1-3:amd64 1.6.8-1ubuntu6
2013-04-24 17:02:01 install libdrm2:amd64 <none> 2.4.43-0ubuntu1
2013-04-24 17:02:01 status half-installed libdrm2:amd64 2.4.43-0ubuntu1
2013-04-24 17:02:01 status unpacked libdrm2:amd64 2.4.43-0ubuntu1
